Staff_ID,Staff_Name,Role,Department,Shift_Timing,Current_Status,Assigned_Patient,Allocation_Timestamp
D001,Ishaan Gupta,Doctor,Pulmonology,16:00-00:00,On-call,P016,2025-10-04 10:32:00
D002,Vihaan Iyer,Doctor,ICU,16:00-00:00,On-call,P106,2025-10-18 05:07:00
D003,Ira Gupta,Doctor,Pediatrics,08:00-16:00,Off-duty,P134,2025-10-10 12:37:00
D004,Aarohi Ghosh,Doctor,Pediatrics,08:00-16:00,Off-duty,P077,2025-10-02 19:07:00
D005,Aadhya Verma,Doctor,Pediatrics,00:00-08:00,On-call,P147,2025-10-16 10:01:00
D006,Myra Reddy,Doctor,Emergency,16:00-00:00,On-duty,P043,2025-10-05 19:43:00
D007,Ayaan Reddy,Doctor,Emergency,16:00-00:00,On-duty,P112,2025-10-05 14:16:00
D008,Arjun Bansal,Doctor,General Medicine,16:00-00:00,On-call,P018,2025-10-02 23:31:00
D009,Aadhya Chowdhury,Doctor,Orthopedics,00:00-08:00,Off-duty,P071,2025-10-12 19:49:00
D010,Navya Sharma,Doctor,Pulmonology,00:00-08:00,On-call,P134,2025-10-18 18:54:00
D011,Anika Patel,Doctor,Orthopedics,08:00-16:00,On-duty,P146,2025-10-14 09:05:00
D012,Ira Patel,Doctor,Emergency,00:00-08:00,On-duty,P074,2025-10-20 17:45:00
D013,Aarohi Shah,Doctor,Orthopedics,16:00-00:00,Off-duty,P125,2025-10-14 00:24:00
D014,Myra Ghosh,Doctor,Emergency,08:00-16:00,Off-duty,P104,2025-10-04 06:33:00
D015,Myra Bansal,Doctor,ICU,00:00-08:00,Off-duty,P010,2025-10-10 00:09:00
D016,Ananya Gupta,Doctor,Emergency,00:00-08:00,Off-duty,P069,2025-10-09 11:24:00
D017,Aarav Nair,Doctor,Pulmonology,16:00-00:00,Off-duty,P072,2025-10-20 04:18:00
D018,Kiara Patel,Doctor,Pulmonology,08:00-16:00,On-duty,P077,2025-10-17 22:10:00
D019,Navya Nair,Doctor,General Medicine,00:00-08:00,Off-duty,P023,2025-10-05 06:38:00
D020,Navya Das,Doctor,Pulmonology,16:00-00:00,On-call,P125,2025-10-18 06:47:00
D021,Saanvi Shah,Doctor,Pulmonology,08:00-16:00,On-call,P041,2025-10-02 11:50:00
D022,Ritik Yadav,Doctor,Orthopedics,08:00-16:00,On-call,P146,2025-10-01 15:48:00
D023,Sai Das,Doctor,Pulmonology,08:00-16:00,On-duty,P064,2025-10-01 18:03:00
D024,Navya Verma,Doctor,General Medicine,00:00-08:00,On-duty,P071,2025-10-09 09:10:00
D025,Navya Yadav,Doctor,Orthopedics,00:00-08:00,On-duty,P008,2025-10-06 12:07:00
D026,Diya Ghosh,Doctor,Pediatrics,16:00-00:00,On-duty,P122,2025-10-14 08:30:00
D027,Aarohi Shah,Doctor,General Medicine,08:00-16:00,Off-duty,P024,2025-10-07 11:41:00
D028,Aarav Khan,Doctor,Emergency,08:00-16:00,On-call,P055,2025-10-20 12:05:00
D029,Krishna Gupta,Doctor,ICU,08:00-16:00,Off-duty,P105,2025-10-12 16:19:00
D030,Aarav Sharma,Doctor,Orthopedics,08:00-16:00,On-call,P045,2025-10-14 16:18:00
D031,Aarav Gupta,Doctor,General Medicine,00:00-08:00,Off-duty,P071,2025-10-10 15:27:00
D032,Aadhya Shah,Doctor,Orthopedics,16:00-00:00,On-duty,P120,2025-10-07 21:00:00
D033,Saanvi Bansal,Doctor,Orthopedics,00:00-08:00,On-duty,P002,2025-10-12 15:21:00
D034,Diya Chowdhury,Doctor,ICU,00:00-08:00,On-call,P073,2025-10-07 19:00:00
D035,Vihaan Ghosh,Doctor,Emergency,16:00-00:00,Off-duty,P084,2025-10-20 14:29:00
D036,Ishaan Mehta,Doctor,ICU,00:00-08:00,On-call,P077,2025-10-05 06:52:00
D037,Arjun Yadav,Doctor,Pulmonology,08:00-16:00,On-duty,P104,2025-10-16 00:44:00
D038,Ananya Reddy,Doctor,ICU,08:00-16:00,On-call,P128,2025-10-07 17:26:00
D039,Ishaan Singh,Doctor,Orthopedics,16:00-00:00,On-call,P010,2025-10-14 06:24:00
D040,Ira Das,Doctor,General Medicine,00:00-08:00,On-call,P057,2025-10-16 14:49:00
D041,Aarohi Ghosh,Doctor,ICU,16:00-00:00,On-call,P077,2025-10-20 05:42:00
D042,Sai Chowdhury,Doctor,Cardiology,16:00-00:00,On-duty,P121,2025-10-03 21:52:00
D043,Ishaan Chowdhury,Doctor,Pulmonology,08:00-16:00,On-call,P086,2025-10-15 21:24:00
D044,Aditya Gupta,Doctor,General Medicine,08:00-16:00,On-call,P079,2025-10-10 13:38:00
